timestamp,pod,cpu_usage(m),memory_usage(Mi)
2023-11-22 03:34:32,carts-5bb979cb6d-zdvn9,5,438
2023-11-22 03:34:32,carts-db-98ff4cbc7-qrqpw,6,345
2023-11-22 03:34:32,catalogue-7c89c4b8b7-wqpl2,3,69
2023-11-22 03:34:32,catalogue-db-6d76c95d76-zgzr9,3,319
2023-11-22 03:34:32,front-end-5d7b595bcd-kh446,5,445
2023-11-22 03:34:32,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:32,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:32,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:32,queue-master-78b6f85bb7-dbmqf,4,345
2023-11-22 03:34:32,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:32,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:32,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:32,user-5c8d59bcd4-24rqf,4,192
2023-11-22 03:34:32,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:33,carts-5bb979cb6d-zdvn9,5,438
2023-11-22 03:34:33,carts-db-98ff4cbc7-qrqpw,6,345
2023-11-22 03:34:33,catalogue-7c89c4b8b7-wqpl2,3,69
2023-11-22 03:34:33,catalogue-db-6d76c95d76-zgzr9,3,319
2023-11-22 03:34:33,front-end-5d7b595bcd-kh446,5,445
2023-11-22 03:34:33,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:33,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:33,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:33,queue-master-78b6f85bb7-dbmqf,4,345
2023-11-22 03:34:33,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:33,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:33,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:33,user-5c8d59bcd4-24rqf,4,192
2023-11-22 03:34:33,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:34,carts-5bb979cb6d-zdvn9,5,438
2023-11-22 03:34:34,carts-db-98ff4cbc7-qrqpw,6,345
2023-11-22 03:34:34,catalogue-7c89c4b8b7-wqpl2,3,69
2023-11-22 03:34:34,catalogue-db-6d76c95d76-zgzr9,3,319
2023-11-22 03:34:34,front-end-5d7b595bcd-kh446,5,445
2023-11-22 03:34:34,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:34,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:34,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:34,queue-master-78b6f85bb7-dbmqf,4,345
2023-11-22 03:34:34,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:34,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:34,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:34,user-5c8d59bcd4-24rqf,4,192
2023-11-22 03:34:34,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:35,carts-5bb979cb6d-zdvn9,5,438
2023-11-22 03:34:35,carts-db-98ff4cbc7-qrqpw,6,345
2023-11-22 03:34:35,catalogue-7c89c4b8b7-wqpl2,3,69
2023-11-22 03:34:35,catalogue-db-6d76c95d76-zgzr9,3,319
2023-11-22 03:34:35,front-end-5d7b595bcd-kh446,5,445
2023-11-22 03:34:35,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:35,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:35,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:35,queue-master-78b6f85bb7-dbmqf,4,345
2023-11-22 03:34:35,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:35,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:35,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:35,user-5c8d59bcd4-24rqf,4,192
2023-11-22 03:34:35,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:36,carts-5bb979cb6d-zdvn9,5,438
2023-11-22 03:34:36,carts-db-98ff4cbc7-qrqpw,6,345
2023-11-22 03:34:36,catalogue-7c89c4b8b7-wqpl2,3,69
2023-11-22 03:34:36,catalogue-db-6d76c95d76-zgzr9,3,319
2023-11-22 03:34:36,front-end-5d7b595bcd-kh446,5,445
2023-11-22 03:34:36,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:36,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:36,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:36,queue-master-78b6f85bb7-dbmqf,4,345
2023-11-22 03:34:36,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:36,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:36,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:36,user-5c8d59bcd4-24rqf,4,192
2023-11-22 03:34:36,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:37,carts-5bb979cb6d-zdvn9,5,438
2023-11-22 03:34:37,carts-db-98ff4cbc7-qrqpw,6,345
2023-11-22 03:34:37,catalogue-7c89c4b8b7-wqpl2,3,69
2023-11-22 03:34:37,catalogue-db-6d76c95d76-zgzr9,3,319
2023-11-22 03:34:37,front-end-5d7b595bcd-kh446,5,445
2023-11-22 03:34:37,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:37,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:37,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:37,queue-master-78b6f85bb7-dbmqf,4,345
2023-11-22 03:34:37,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:37,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:37,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:37,user-5c8d59bcd4-24rqf,4,192
2023-11-22 03:34:37,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:38,carts-5bb979cb6d-zdvn9,5,438
2023-11-22 03:34:38,carts-db-98ff4cbc7-qrqpw,6,345
